card_id,card_name,system,definition,,,,,,,,,
46,Uncertainty,Possibility,"Uncertainty is often characterised as an unpleasant emotional experience, one we are motivated to avoid. Feeling doubtful at life's biggest junctions can be hard to tolerate. Yet, though predictability temporarily salves us, hesitations and doubts are part of the architecture of our lives. Even the most advanced theoretical physicists can't give us answers. According to Heisenberg's uncertainty principle, it's impossible to know both the size and mass of a particle at any one time, since each time you try to measure one, the other changes. If this is the condition of our subatomic universe, you can bet it's the condition of our day-to-day lives too. Freedom, serendipity, creativity: these are the delights of uncertainty. Not knowing an outcome can be immensely pleasurable. According to many artists, the DESIRE to find out must be resisted. Only those 'capable of being in uncertainties, Mysteries, doubts, without any irritable reaching after fact and reason, wrote the poet John Keats, are truly free to create and explore. Allow yourself to get lost, and you might glimpse that freedom too.",,,,,,,,,
47,Curiosity,Possibility,"It's the itch to find out more. The temptation to glance at an open diary, or strain to decipher an argument behind you on the bus. It's the restless DESIRE that made Leonardo da Vinci ask: What makes birds Ay? How does the heart beat? Without curiosity, it's hard to imagine creativity or invention at all. Evolutionary psychologists have suggested that our natural curiosity about one another is one key to our evolutionary success. But that doesn't make us any happier to be on the receiving end of someone else's. Curosity can overreach. It stumbles into forbidden knowledge, not stopping to think whether what emerges will be hurtful. Five centuries ago in England, eavesdropping was illegal. Today, it is the surreptitious accumulation of 'intimate capital, the photographs and snippets of information used for blackmail and by tabloid journalists, which must be policed. Suspicion of other people's curiosity is nicely captured by the Swedish word for an eavesdropper: a tjuvlyssnare, a 'listen-thief. Lurking and snatching poorly guarded secrets"," the listen-thief profits - with the titillations of forbidden knowledge or simply cold hard cash.""",,,,,,,,
48,Wanderlust,Possibility,"Perhaps it begins with a restless twitch. Perhaps with a fascination with a distant country or landscape, a kind of yearning for a place you've never visited but have seen pictures of. We may long to leave a footprint on a glacier, or hear an echo of our voice across a lake at dawn, but perhaps most of all we want to experience the world made new again. The German word Wanderlust (the pleasure of hiking) first came out of a defiant Romantic tradition of solitary walking (see: LONELINESS). In the 1880s, the idea that humans might have a natural desire to roam was a popular one. Evolutionary theory had suggested that the human body could play host to ancient impulses. Though Victorians may have feared the eruption of the nomadic instinct, in small doses it was welcomed. Not least because its discovery coincided with the birth of the modern tourist industry. With Cook's Tours, and the publication of the first tourist guides (the Baedeker series), and the popularity of exotic travellers tales from the likes of Jules Verne and Mark Twain, Europeans had never been more ready to be on the move. We are the inheritors of this late-nineteenth century moment of fascination with Wanderlust. In it we find a craving for adventure and discovery, which just as it propels us towards the future, reminds us of our ancient pasts.",,,,,,,,,
49,Hopefulness,Possibility,"When the sociologist Barbara Ehrenreich was diagnosed with breast cancer, she was surprised how coercive she found the insistence to keep optimistic. Her subsequent account Smile or Die describes how the positive psychology movement, which insists on a link between a positive attitude and improved well-being, has co-opted hope. Can hope really press back the march of cancerous cells? There's probably no harm in finding out. Except that Ehrenreich also cites a 2004 study which suggests that continually looking on the bright side of a cancer diagnosis did not always help patients. A hopeful outlook might make life easier for carers and family members, but many of the patients themselves found it alienating, even GUILT-inducing, and it prevented them from acknowledging and expressing the FEAR and ANGER they also felt. The idea that hope can be manufactured at will seems at odds with what hopefulness so often feels like. With its flickering promise of a happier ending, it is a glimpse of RELIEF in a desperate situation, when we have reached the end of all that we might practically do. We know hoping might leave us feeling cheated and let down, but this vulnerability is also a strength. To feel hope is to acknowledge how little control we so often have.",,,,,,,,,
50,Anticipation,Possibility,"Anticipation is a tiny theft of pleasure. A reckless spending of delights not yet owned. Until the mid-nineteenth century, an anticipation was a sum of money spent before it was earned: an early payout on the dowry; an advance on next week's wages. Perhaps it's this whiff of the scandalous ('neither a borrower nor a lender be!) which makes some adults firmly budget their children's expectations. Or perhaps, it's just their familiarity with the effects of DISAPPOINTMENT. Looking forward to an event is one thing. Savouring in technicolour detail what will happen when the lights dim and the curtain goes up, or the birthday present is finally opened, is, however, not for the fainthearted Anticipation is an exquisite torture. It's there in the hands poised to tickle, or in the scent of baking which curls through the house. It may be that the cake comes out flat, or the game abruptly ends when foreheads painfully bump. But it doesn't really matter. In those brief moments of anticipation, the pleasure is absolute and sublime.",,,,,,,,,
51,Ilinx,Enjoyment,"There's a peculiar exhilaration in the idea of picking up a pile of loose papers, opening the window and flinging them all out. Or intentionally smashing a delicate china cup. Or in standing on a kitchen chair and tipping out a bag of marbles so that they crash, bounce and roll across the floor. According to the twentieth-century French sociologist Roger Caillois, the 'strange excitement' of wanton destruction was one way of experiencing the feeling he named ilinx (from the Greek word for whirlpool). He defined ilinx as a 'voluptuous panic, a sensation of spinning, falling and losing control - the sort of feeling which riding a rollercoaster might produce. Callois traced ilin back to the practices of ancient mystics who by whirling and dancing hoped to induce rapturous trance states and glimpse alternative realities (see: ECSTASY). Today, even succumbing to the urge to create a minor chaos by kicking over the office recycling bin should give you a mild hit.",,,,,,,,,
52,Surprise,Enjoyment,"In 1872 Charles Darwin conducted a curious experiment at London Zoo. Standing before a tank containing a deadly adder, Darwin thrust his nose against the glass with the firm determination of not starting back if the snake struck. No sooner had the angry reptile lunged at the glass than Darwin skittered several paces backwards. The fact that so many of our feelings rise up without our permission is part of what makes them both exasperating and alluring. It was these moments which particularly intrigued Charles Darwin. He wondered if these unnecessary emotional responses were vestiges, emotional habits left over from much earlier times. Darwin's theory called into question the cherished idea that our emotions express some innermost part of ourselves, replacing it with a picture of human feelings shaped by vast forces, which stretched far beyond the margins of our individual lives. He showed us that our emotions don't entirely belong to us. And that though we might fondly imagine ourselves to be the drivers of our bodies, we are more like passengers, along for a ride.",,,,,,,,,
53,Glee,Enjoyment,"Glee has never been entirely innocent. When the Norsemen arrived in England, bringing their language with them, gly, or glíw, or glew meant 'sport' and 'mockery. Today glee retains a dastardly edge. After a series of security leaks in 2013, the Head of MI6 imagined Al-Qaeda terrorists 'rubbing their hands with glee. This glee is a malevolent thrill, a celebration of one's own good fortune (see: SCHADENFREUDE). Body language experts disagree about the origins of gleeful hand-rubbing, though all link it to anticipating something good coming our way. Standing around in a cold cave, our ancestors would rub their hands together to make the blood circulate faster and more nimbly pick at roasting meat. Or: it is a way of dissipating anxious tension. Or: it's a version of a baby's delighted clap. Or: it echoes cleansing hands before receiving a gift. But why then should it have become associated with Hollywood super-villains? The answer can be found in John Bulwer's 1644 guide to hand gestures, which links hand-rubbing to the cleansing of imagined bloodstains - as Lady Macbeth might be found doing. Actors resorted to rubbing their hands to tip off the audience that their character, who seemed oh so innocent, was in fact very villainous indeed.",,,,,,,,,
54,Desire,Enjoyment,"Whether we covet a person, or an object, or something intangible like 'fame' or 'glory', people have long recognised the dangers of being gripped by desire. It was a long time since I had longed for anything, wrote Samuel Beckett, 'and the effect on me was horrible? Perhaps it's because desire runs so close to FEAR that it can feel so uncomfortable. The habit among theologians, doctors and even sexologists to attribute our desires to some other part of ourselves - something the Devil sent, or the product of a diseased mind, or even a biological instinct - may be partly a response to how uncomfortable longing can be. Perhaps our urges frighten us because they might lead us astray, hurting those we love and disrupting the status quo. Perhaps we suspect we idealise the desired object, and fear the tumult we'll create. Part of what makes desire so hard to tolerate is the frustration and DISAPPOINTMENT which so often come with it. But perhaps more hidden is its SHAME: the way longing for someone exposes us, forcing us to admit we lack something that we don't already have and can't easily obtain.",,,,,,,,,
55,Excitement,Enjoyment,"When the word 'excitement' first appeared in English in the eighteenth-century, it was a condition of the 'vital spirits', which when 'excited' would whizz around the body. It wasn't until the nineteenth century that excitement became an emotion. Charles Darwin spoke of excitement as 'high spirits', which registered in bright eyes, rapid circulation and whirlwind ideas. One of his contemporaries Alexander Bain added that it was an 'emotion of action', it gave one a feeling of momentum, invincibility and speed. The story of excitement took a new direction in the 1890s. Dr George Oliver was a physician in the habit of performing experiments on his family. In one, he injected his young son with a purified extract of sheep and calf adrenal glands - the boy's radial artery suddenly contracted, sending his blood pressure rocketing. Within ten years, the word 'hormone' had been coined and the substance Oliver had used was being marketed as a new wonder-drug: Adrenaline. Adrenaline didn't only catch the attention of surgeons, the era's psychologists became interested in the way it caused a kind of urgent feeling, sparkling eyes and flushed cheeks. In adrenaline, they had found the secret of excitement - and the theory that our emotions might be chemical responses to life's crises was secured.",,,,,,,,,
56,Ecstasy,Enjoyment,"Ecstasy paralyses us with a quivering pleasure. It feels as if the world has billowed open. As if we have, momentarily, been set free. Such experiences have been at the heart of spiritual life for millennia. The nuns of medieval Europe scourged their flesh and fasted to be rewarded with visions. The Shamans of Siberia spun and danced till spirits appeared to lead them into other worlds. But the disenchantment of ecstasy began when nineteenth-century neurologists recategorised ecstatic states from rare and sought-after emotions to the by-products of nervous diseases. Today's neurologists speak of kalopsia, a feeling that everything is intensely beautiful and radiant, and say it is caused by lesions in the right parietal cortex of the brain. Or of 'autoscopic phenomena' during which one's own body is seen in outside space - thought to be caused by damage either to the parieto-occipital cortex or temporo-parietal junction. And so, much that used to be part of the rapturous ecstasy of lovers and mystics is now reduced to defunct brain wiring.",,,,,,,,,
57,Fago,Bliss,"'The implicit poetry in Ifaluk emotional understandings is nowhere more evident than in the concept of fago,' wrote the anthropologist Catherine Lutz in the late 1980s. While living among the people of Ifaluk, a tiny coral atoll in the Caroline Islands of the Pacific, Lutz became fascinated by an emotion which she instinctively recognised but for which there was no English equivalent. Fago is an emotional concept that blurs compassion, SADNESS and LOVE together. It is the pity felt for someone in need, which compels us to care for them, but it is also haunted by a strong sense that one day we will lose them. Fago comes in those moments when our love for others, and their need for us, feels so unexpectedly overwhelming - and life so very fragile and temporary - that we well up. Lutz suggested that the fact the Ifaluk, who are famed for their non-aggression, have a distinct emotion to describe a combination of sorrow and the compassion which might go some way to relieving it, points to the importance of mutual concern in their culture. It also alerts us to the inevitability of GRIEF in all human life.",,,,,,,,,
58,Love,Bliss,"We may wax lyrical about love, but we are often struck dumb by it too. One of the oldest examples of love's inarticulacy is left by the poet Sappho who lived around the sixth century BCE. She glimpses her beloved and falls into a kind of paralysis: my lost voice stutters, / Refuses to come back / Because my tongue is shattered. The Occitan troubadours of the eleventh and twelfth centuries sang of their yearning for unobtainable lovers. Sometimes it was through the wordlessness of a breath", a sigh or a yawn, that their love could find its best expression. A testament to long devotion. These silences are still part of the way we love. In the squeeze of a hand, or a shared look across a room. In the word 'love' itself. This word carries immense meaning: can it describe the same emotion we feel for lovers, loyal friends, Gods, long-term partners, parents or pets? We have only this one syllable - vague, open to misinterpretation. So we shrug our shoulders. It's just," you know ... Love."""
59,Happiness,Bliss,"Happiness is a multimillion-pound industry. Self-help books encourage us to track our emotional temperatures. Apps turn the effects of certain foods and exercise on our moods into graphs. But in our hurry to weigh and measure that most subjective, fleeting experience of happiness, we might be forgetting to check first what we're putting at risk. The idea that happiness is obligatory, that we have failed if we can't achieve it, can make us anxious and dissatisfied. One response to this dilemma is to reject the term altogether. Many contemporary philosophers and psychologists prefer to use the term 'flourishing'. While happiness has come to be associated with a generalised positive feeling, to lead a flourishing life demands that you practise COURAGE, compassion and deferred gratification for a more satisfying way to live. Perhaps the greatest consequence of replacing talk of happiness with talk of flourishing will be to restore happiness to its rightful place as an emotion: a temporary feeling which, like all emotions, may sometimes be present and sometimes not.",,,,,,,,,
60,Cheerfulness,Bliss,"Disneyworld: it's 'the happiest place on earth'. To work there, you must learn how to maintain beaming smiles and infectious enthusiasm; manage facial expressions and gestures; transform your inner monologue; and convert feelings of frustration and RESENTMENT into enthusiasm and DELIGHT. Can trying to act upbeat when you don't actually feel upbeat really work? There is some evidence which suggests that contorting your face into a grin might truly influence the emotions you feel. But some psychologists and sociologists have questioned the long-term effects of sustaining a workplace rictus smile. Disney employees, like many others who work in service industries where 'surface acting' positive emotions is explicitly demanded, have been shown to be at greater risk of burnout. In our increasingly flexible, consumer-focused economy, it's worth asking whether we should take compulsory cheerfulness more seriously. Since 'emotional labour'is thought to contribute to increased levels of stress and symptoms associated with depression and ANXIETY among employees, we may find that the pressure to be cheerful leads to dissatisfaction, exhaustion and alienation. Have a nice day!",,,,,,,,,
61,Satisfaction,Bliss,"We smile for all sorts of reasons, but one smile has a particularly intriguing history: the smile of satisfaction. It can be full of triumph, irritatingly smug or ironic and wry. But whichever form these satisfied grins take, they enjoyed a moment in eighteenth-century France, when Parisians learnt - briefly - how to smile. According to the historian Colin Jones, this 'smile revolution' can be traced back to a group of philosophers active in the mid-century. These philosophers presented themselves as free, enquiring and happy. For them, a smile was the ideal emotional attitude with which to greet the world. 'One must laugh at everything, said Voltaire. This was not a man plagued by DESIRE or doubt, but one curious and quietly confident. The philosophes called the feeling 'satisfaction', from the Latin satis (enough) facere (to do). The word originally meant the fulfilment of debt or obligation. In the writing of eighteenth-century philosophes it came to mean the contentment of using one's skills appropriately, foreshadowing today's career-speak of job satisfaction'. French aristocrats embraced an attitude of satisfaction. Satisfied smiles lit up the walls of Versailles", symbols of progressiveness and the ability to afford expensive dentistry. Whether philosophes or aristocrats, however, Parisians didn't enjoy their self-satisfied smiles for very long. By the time of the September massacres of 1792," they were more commonly depicted wearing violent screams instead.""",,,,,
62,Euphoria,Bliss,"In 1896 the physician Théodule Ribot noted that some patients experienced states of ecstatic bliss at the end of their lives, laughing delightedly, leaping out of bed, seemingly oblivious to the imminence of their demise. These patients perplexed, even outraged, doctors, who dismissed the sudden outburst of euphoria as a sign of degeneracy. In 1926 physicians found that over two-thirds of patients in the advanced stages of multiple sclerosis experienced a prevailing mood of serenity and cheerfulness. Today, only thirteen per cent of patients suffering the same disease report feeling anything close to euphoric. Why? Perhaps the methods of assessing mood are to blame, or maybe medication. It also seems likely that social factors play their role. Early in 2013, when Wilko Johnson announced that he had been diagnosed with cancer, the press pounced on his descriptions of feeling 'vividly alive' with a 'strange euphoria' and 'marvellous feeling of freedom. His interviews, though intensely uplifting, disconcertingly undermined our own calcified notions of HaPPIness and where we should find it.",,,,,,,,,
63,Warm Glow,Zen,"Most of us walk off feeling a little bouncier after helping carry a stranger's pram up the stairs, or bringing in a neighbour's shopping. Random acts of kindness give a feeling of solidarity of the 'we're all in this together variety, even a swell of pRIDe. Yet, though we say it's my pleasure? after someone thanks us, the English language has not yet dignified this pleasure with a name. Some have suggested 'Altru-hedonism'. Slightly less ugly is the phrase suggested by the Victorian philosopher Herbert Spencer (not known for being pithy): 'altruistic pleasure'. With this sort of competition, it might be that 'a warm glow is still the best term we have. Recent research into altruism has suggested that one of the key pleasure pathways of the brain, the mesolimbic system which carries dopamine to the areas associated with reward, is engaged when we donate to charity in the same way as it is when we receive money ourselves. The MRI images which accompany these studies depict our brains glowing, quite literally, with the pleasure of giving: 'nature's reward' for behaviour which will help our species survive.",,,,,,,,,
64,Empathy,Zen,"What today is called 'empathy, the sentimental philosophers of the eighteenth century called 'sympathy, which they saw evidence for in the physical flinches and winces that occur when people witness the pain of others. The promise of inbuilt sympathy led to an astonishing cult of benevolence and 'benevolists soon began to grapple with the ills of their age - slavery, child labour, animal cruelty - with utopian fever. But, it was a brief flourishing of kindness. By the end of the century tender-hearted 'moral weeping' was being satirised for its self-indulgence, and the word 'sentimentality began to accrue the associations with inauthenticity and mawkishness it has today. Today's empathy is a feeling of emotional resonance between people and it is much celebrated as a 'universal solvent' (according to the psychologist Simon Baron-Cohen, 'any problem immersed in empathy becomes soluble'). In emotional-literacy classes in British schools, children are taught empathy, so that alongside language and numbers a capacity for vicarious feeling is becoming an expected indicator of a child's development. Has the twenty-first century's interest in empathy engendered a similar wave of philanthropy? When our politicians speak of a 'politics of empathy, it's hard not to feel cynical. But if we are shrivelled by narcissism and in the grip of a compassion deficit, then we might just have to hope that empathy can build the bridges some promise it can.",,,,,,,,,
65,Delight,Zen,"The hands clap, the eyes sparkle, the lips tingle into a smile. Sparked so often by sensory pleasures - the hoare-frost on a spider's web, a petal's startling pink - delight is a moment of fleshy abandon and almost spiritual transcendence. In many cultures, gardens have been credited with bringing forth its raptures. In fifteenth-century Islamic art, the delights of paradise are depicted as jewel-like gardens. From the Zen rock gardens of ancient Japan to Hieronymus Bosch's strawberry-drenched The Garden of Earthly Delights, the garden encapsulates a glistening, sensory presence. For the eighteenth-century English philosopher John Locke, delight was one of the four essential feelings out of which all complex emotions grew the others were pleasure, pain and uneasiness). Delight comes from the Latin delectare (to allure, to charm, to entice away, and Locke described it as a kind of shimmering seduction. It was, he said, that intangible thing which caused a person to say they love' something: as in 'I love the apple tree' or I love the sky. According to the Oxford English Dictionary, the change of spelling during the sixteenth century from the older 'delite' to the modern 'delight' was the result of an accident. But as is so often the case, the mistake captures the essence of the thing: luminosity and weightlessness seem to be at the heart of delight, which most of all, makes one feel like flying.",,,,,,,,,
66,Comfort,Zen,"In the 1950s paediatrician and psychoanalyst Donald Winnicott became interested in the practice of giving babies something soft to cuddle. He suggested that these 'transitional objects' must have warmth, texture and movement, allowing the child to imbue them with a life of their own, acting as a 'bridge' between the baby's mind and the real world. Once the baby has learnt to understand the distinction between themselves and others, the object's usefulness fades. Yet, our need for transitional objects never disappears entirely. From the Latin confortare (to strengthen), seeking comfort is no weakness. But as adults, it can be hard to admit to vulnerability. Sometimes we might feel brave enough to seek reassurance from others, or we might find solace furtively. According to Winnicott, paintings and films, prayers and rituals, even addictions and compulsions all perform the same function as teddy bears. They allow the unforgiving outside world to temporarily yield to and mirror our painful inner emotional landscapes. They allow us to say, Yes, that's exactly how I feel.' And there is little more consoling than that.",,,,,,,,,
67,Calm,Zen,"When ANXIETY sends shocks behind the eyes, or FEAR thuds in the chest, or LOVE is so rapturous we think we'll lose our footing, we long to conjure what we think is our 'normal' state of calm. Today, smoothing the mind's scratchy edges is largely achieved by pharmaceuticals. But in the 1960s, it looked as if neurotechnology might just beat the drugs to it. Though requiring an invasive procedure, celebrated neuroscientist José Delgado thought his electronic implants might offer an elegant solution to disordered emotions. Emotion modification experiments recorded in 1965 show the unarmed scientist in a bull ring in Cordoba, Spain. In one hand he holds a matador's cape; in the other, a small remote-control box. A bull snorts and stamps on the ground. It charges towards the scientist. Only moments from being gored, Delgado flicks a switch which controls an electronic chip embedded in the bull's brain. The animal stops and turns away, passive and relaxed. Its 'aggression' and destructive fury'", reported Delgado," 'ceased instantly. It's when emotions get too much that we may fantasise about one of Delgado's remote controls. One woman from Rhode Island Asylum with a history of drug abuse and jail time begged Delgado to implant one of his electrodes. He refused.""",,,,,,,
68,Relief,Zen,"Relief is not always a straightforwardly happy feeling. The moments following a close call on the motorway are a heart-thumping adrenalin rush. At the end of a long project, the relief of finishing may be spiked with disappointment. And as often as we exhale with a 'Phew!', many of us might also find ourselves inexplicably weeping on receiving good news after a long and anxious wait. The idea that tears accompany relief is an ancient one, stretching back to Aristotle's theory of catharsis. Sometimes, the physical act of weeping itself seems to purify, leaving us quieter and lighter inside. As the Jewish proverb puts it 'what soap is for the body, tears are for the soul'. More recently theories have suggested weeping relieves us because the liquid flowing from our tear ducts flushes hormones or toxins away. But since when we weep we discharge little more than a millilitre of fluid, this seems unlikely. Perhaps the truth is that weeping leaves us feeling the relief of our emotions being made visible. Think of the feeling of unburdening yourself by telling a secret or confessing to guilt. We might feel lighter, but this may be less because we have expressed our anxieties than because we experience the solace of being listened to and understood. In this sense, relief might be less about something being flushed away than about our feelings finally being seen. For more on weeping, see: EMPATHY.",,,,,,,,,